elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
40.369,edge1-edge1-minio-1,8.19,351.3MiB,2GiB,17.15
40.484,cloud_api_poc1,51.67,82.8MiB,2GiB,4.04
40.604,cloud_mysql_poc1,0.60,367.8MiB,512MiB,71.84
40.735,cloud_minio_poc1,9.49,334MiB,1GiB,32.61
40.906,edge3-edge3-api-1,109.42,365.9MiB,2.5GiB,14.29 
41.026,edge3-edge3-mysql-1,0.39,376.3MiB,1GiB,36.75 
41.141,edge3-edge3-minio-1,7.17,355.3MiB,2GiB,17.35 
41.286,edge2-edge2-api-1,79.15,323.9MiB,2.5GiB,12.65 
41.432,edge2-edge2-minio-1,5.48,353.9MiB,2GiB,17.28 
41.560,edge2-edge2-mysql-1,0.69,376.4MiB,1GiB,36.75 
41.727,edge1-edge1-api-1,86.62,373.2MiB,2.5GiB,14.58 
41.908,edge1-edge1-mysql-1,1.35,376.3MiB,1GiB,36.75 
42.040,edge1-edge1-minio-1,8.19,351.3MiB,2GiB,17.15 
42.186,cloud_api_poc1,51.67,82.8MiB,2GiB,4.04 
42.380,cloud_mysql_poc1,0.60,367.8MiB,512MiB,71.84 
42.517,cloud_minio_poc1,9.49,334MiB,1GiB,32.61 
42.670, ,,,,
42.827,edge3-edge3-api-1,109.42,365.9MiB,2.5GiB,14.29
43.012,edge3-edge3-mysql-1,0.39,376.3MiB,1GiB,36.75
43.152,edge3-edge3-minio-1,7.17,355.3MiB,2GiB,17.35
43.297,edge2-edge2-api-1,79.15,323.9MiB,2.5GiB,12.65
43.445,edge2-edge2-minio-1,5.48,353.9MiB,2GiB,17.28
43.577,edge2-edge2-mysql-1,0.69,376.4MiB,1GiB,36.75
43.711,edge1-edge1-api-1,86.62,373.2MiB,2.5GiB,14.58
43.882,edge1-edge1-mysql-1,1.35,376.3MiB,1GiB,36.75
44.046,edge1-edge1-minio-1,8.19,351.3MiB,2GiB,17.15
44.187,cloud_api_poc1,51.67,82.8MiB,2GiB,4.04
44.340,cloud_mysql_poc1,0.60,367.8MiB,512MiB,71.84
44.474,cloud_minio_poc1,9.49,334MiB,1GiB,32.61
44.622,edge3-edge3-api-1,109.42,365.9MiB,2.5GiB,14.29 
44.742,edge3-edge3-mysql-1,0.39,376.3MiB,1GiB,36.75 
44.917,edge3-edge3-minio-1,7.17,355.3MiB,2GiB,17.35 
45.039,edge2-edge2-api-1,79.15,323.9MiB,2.5GiB,12.65 
45.149,edge2-edge2-minio-1,5.48,353.9MiB,2GiB,17.28 
45.281,edge2-edge2-mysql-1,0.69,376.4MiB,1GiB,36.75 
45.391,edge1-edge1-api-1,86.62,373.2MiB,2.5GiB,14.58 
45.535,edge1-edge1-mysql-1,1.35,376.3MiB,1GiB,36.75 
45.679,edge1-edge1-minio-1,8.19,351.3MiB,2GiB,17.15 
45.851,cloud_api_poc1,51.67,82.8MiB,2GiB,4.04 
45.968,cloud_mysql_poc1,0.60,367.8MiB,512MiB,71.84 
46.064,cloud_minio_poc1,9.49,334MiB,1GiB,32.61 
46.197, ,,,,
46.323,edge3-edge3-api-1,109.76,368.2MiB,2.5GiB,14.38
46.448,edge3-edge3-mysql-1,0.39,376.3MiB,1GiB,36.75
46.575,edge3-edge3-minio-1,6.37,361.1MiB,2GiB,17.63
46.745,edge2-edge2-api-1,97.32,325.8MiB,2.5GiB,12.73
46.878,edge2-edge2-minio-1,8.50,354MiB,2GiB,17.29
46.994,edge2-edge2-mysql-1,0.37,376.4MiB,1GiB,36.75
47.113,edge1-edge1-api-1,73.02,372.5MiB,2.5GiB,14.55
47.226,edge1-edge1-mysql-1,0.38,376.3MiB,1GiB,36.75
47.342,edge1-edge1-minio-1,4.83,351.4MiB,2GiB,17.16
47.450,cloud_api_poc1,51.89,85.18MiB,2GiB,4.16
47.556,cloud_mysql_poc1,0.37,367.8MiB,512MiB,71.84
47.631,cloud_minio_poc1,7.06,336.4MiB,1GiB,32.85
47.729,edge3-edge3-api-1,109.76,368.2MiB,2.5GiB,14.38 
47.867,edge3-edge3-mysql-1,0.39,376.3MiB,1GiB,36.75 
48.002,edge3-edge3-minio-1,6.37,361.1MiB,2GiB,17.63 
48.163,edge2-edge2-api-1,97.32,325.8MiB,2.5GiB,12.73 
48.300,edge2-edge2-minio-1,8.50,354MiB,2GiB,17.29 
48.436,edge2-edge2-mysql-1,0.37,376.4MiB,1GiB,36.75 
48.625,edge1-edge1-api-1,73.02,372.5MiB,2.5GiB,14.55 
48.765,edge1-edge1-mysql-1,0.38,376.3MiB,1GiB,36.75 
48.942,edge1-edge1-minio-1,4.83,351.4MiB,2GiB,17.16 
49.059,cloud_api_poc1,51.89,85.18MiB,2GiB,4.16 
49.175,cloud_mysql_poc1,0.37,367.8MiB,512MiB,71.84 
49.330,cloud_minio_poc1,7.06,336.4MiB,1GiB,32.85 
49.474, ,,,,
49.642,edge3-edge3-api-1,109.76,368.2MiB,2.5GiB,14.38
49.784,edge3-edge3-mysql-1,0.39,376.3MiB,1GiB,36.75
49.914,edge3-edge3-minio-1,6.37,361.1MiB,2GiB,17.63
50.024,edge2-edge2-api-1,97.32,325.8MiB,2.5GiB,12.73
50.193,edge2-edge2-minio-1,8.50,354MiB,2GiB,17.29
